StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
26,2016,27.8,43.9,14.0,7.4,2.3,1.5,1.0,1.4,.7,1541,50,5.8,3
27,2016,9.3,16.7,26.4,23.6,12.8,7.0,1.6,2.3,.4,258,2,12.3,10
28,2016,10.0,38.0,29.7,12.7,4.0,.8,1.7,2.1,.8,471,12,8.5,6
29,2016,.4,44.9,34.8,10.3,3.0,3.0,.5,2.8,.3,790,6,8.5,6
30,2016,2.4,53.0,24.1,9.6,4.8,6.0,0.0,0.0,0.0,83,2,7.4,5
31,2016,1.4,35.2,35.9,13.7,7.3,3.5,1.3,1.6,.3,1179,6,9.9,7
32,2016,0.0,15.4,27.5,23.0,13.4,7.9,3.9,6.9,2.0,305,1,17.4,13
33,2016,.1,21.9,33.5,16.1,11.0,6.5,4.3,5.0,1.6,1921,62,14.7,10
34,2016,1.5,35.8,32.5,16.1,7.1,2.8,1.6,1.7,.9,1495,6,10.3,7
35,2016,.8,12.9,51.5,18.9,3.0,6.8,1.5,4.5,0.0,132,0,12.8,10
36,2016,.1,14.9,36.4,19.4,12.0,6.6,3.8,5.2,1.7,1447,2,15.7,11
37,2016,.9,38.1,35.0,12.6,6.3,2.1,1.4,2.3,1.3,2477,10,10.3,7
38,2016,1.1,19.7,29.1,20.2,11.4,8.1,3.1,5.8,1.6,743,25,14.9,12
39,2016,.6,40.9,31.9,17.3,4.9,2.2,.7,1.0,.5,1886,31,8.8,7
40,2016,70.7,14.9,5.1,2.9,1.8,2.2,0.0,.7,1.8,276,3,3.7,0
41,2016,1.2,25.6,35.6,16.4,7.6,3.9,4.2,4.4,1.2,433,0,13.1,9
42,2016,0.0,8.4,17.8,28.0,17.8,11.2,9.3,0.0,7.5,107,3,22.9,17
43,2016,1.6,58.2,19.3,11.2,4.5,3.0,.7,1.7,0.0,1075,149,7.4,4
44,2016,.1,22.4,36.8,20.0,8.6,4.6,2.0,3.7,1.8,5720,3,13.7,10
45,2016,3.2,63.3,18.4,5.9,4.8,1.4,1.3,1.1,.6,630,2,6.9,3
46,2016,0.0,46.8,37.0,8.8,1.9,.9,.9,2.3,1.4,216,0,8.5,6
47,2016,0.0,14.6,32.1,23.0,10.1,10.6,3.0,4.0,2.6,623,4,16.3,12
48,2016,.6,37.6,37.2,11.0,5.5,4.6,.6,1.8,1.0,1386,1,9.9,7
49,2016,0.0,7.0,50.9,25.0,8.9,4.1,2.0,1.3,.8,929,11,12.8,10
50,2016,.4,49.2,29.5,11.5,4.5,3.0,.7,.9,.1,667,2,8.0,6
51,2016,9.4,60.0,14.1,5.9,1.2,3.5,1.2,2.4,2.4,85,4,8.4,3
