StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
45,2013,10.2,15.3,10.4,7.8,7.8,8.0,6.5,5.8,6.0,77.9,3.4,3.1,2.9,2.7,2.7,2.2,2.0,1.5,.5,.7,.2,.2,587,0,5.3,4.0
46,2013,2.2,11.2,8.9,10.1,8.9,10.6,6.1,7.3,6.7,72.1,1.1,5.0,5.0,4.5,4.5,2.8,1.1,3.4,0.0,.6,0.0,0.0,179,0,6.4,5.0
47,2013,.8,8.7,8.2,9.2,8.2,7.3,7.6,7.8,4.8,62.6,3.8,4.7,4.2,5.4,4.4,6.2,2.0,3.4,2.7,.7,0.0,0.0,709,0,7.4,6.0
48,2013,1.4,16.0,15.9,13.4,8.2,7.5,6.9,5.0,4.4,78.6,4.7,4.1,3.2,1.7,2.7,1.6,1.4,1.2,.8,0.0,0.0,0.0,1328,0,5.2,4.0
49,2013,1.5,11.6,12.2,11.3,10.6,8.6,7.4,7.0,5.0,75.1,6.2,3.8,3.4,3.2,2.4,1.9,1.4,1.0,1.4,.2,0.0,0.0,877,0,5.8,5.0
50,2013,9.3,10.3,10.3,9.8,12.0,7.5,7.3,6.0,6.5,78.8,3.9,3.9,2.9,1.4,2.4,2.3,2.0,1.4,1.3,0.0,0.0,0.0,800,0,5.4,4.0
51,2013,1.2,12.8,14.0,10.5,11.6,4.7,8.1,4.7,7.0,74.4,4.7,4.7,2.3,1.2,5.8,4.7,0.0,2.3,0.0,0.0,0.0,0.0,86,0,5.8,4.5
52,2013,0.0,0.0,5.3,21.1,21.1,0.0,15.8,10.5,5.3,78.9,5.3,0.0,10.5,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,19,0,6.2,6.0
1,2014,2.2,11.3,12.4,9.1,9.3,6.8,6.8,4.4,5.8,68.1,5.3,4.6,3.8,3.1,4.4,3.3,3.1,2.0,1.3,.7,.4,0.0,548,0,6.5,5.0
2,2014,1.4,10.9,13.1,10.1,10.1,4.4,7.4,6.3,6.0,69.5,4.6,6.3,5.4,2.7,5.2,2.2,1.6,1.1,1.4,0.0,0.0,0.0,367,0,6.3,6.0
